input_text,target_label,target_output
"I am stressed about exams and cannot focus properly, and I feel confused about what to choose",Study First,Prioritizing studies first and reducing distractions may help improve academic performance and reduce stress.
"Upcoming exams are making me anxious and distracted, while my family expects quick decisions",Study First,Prioritizing studies first and reducing distractions may help improve academic performance and reduce stress.
"Assignments and deadlines are overwhelming me, and this is affecting my peace of mind",Study First,Prioritizing studies first and reducing distractions may help improve academic performance and reduce stress.
"Study pressure is affecting my confidence, and I want a practical long term solution",Study First,Prioritizing studies first and reducing distractions may help improve academic performance and reduce stress.
"I cannot balance preparation and daily responsibilities, while I worry about future stability",Study First,Prioritizing studies first and reducing distractions may help improve academic performance and reduce stress.
"My grades are dropping because of stress, and I need better clarity before moving forward",Study First,Prioritizing studies first and reducing distractions may help improve academic performance and reduce stress.
"Relationship issues are disturbing my academic focus, and I feel confused about what to choose",Study First,Prioritizing studies first and reducing distractions may help improve academic performance and reduce stress.
"I keep procrastinating and exams are getting closer, while my family expects quick decisions",Study First,Prioritizing studies first and reducing distractions may help improve academic performance and reduce stress.
"I am stressed about exams and cannot focus properly, and this is affecting my peace of mind",Study First,Prioritizing studies first and reducing distractions may help improve academic performance and reduce stress.
"Upcoming exams are making me anxious and distracted, and I want a practical long term solution",Study First,Prioritizing studies first and reducing distractions may help improve academic performance and reduce stress.
"Assignments and deadlines are overwhelming me, while I worry about future stability",Study First,Prioritizing studies first and reducing distractions may help improve academic performance and reduce stress.
"Study pressure is affecting my confidence, and I need better clarity before moving forward",Study First,Prioritizing studies first and reducing distractions may help improve academic performance and reduce stress.
"I cannot balance preparation and daily responsibilities, and I feel confused about what to choose",Study First,Prioritizing studies first and reducing distractions may help improve academic performance and reduce stress.
"My grades are dropping because of stress, while my family expects quick decisions",Study First,Prioritizing studies first and reducing distractions may help improve academic performance and reduce stress.
"Relationship issues are disturbing my academic focus, and this is affecting my peace of mind",Study First,Prioritizing studies first and reducing distractions may help improve academic performance and reduce stress.
"I keep procrastinating and exams are getting closer, and I want a practical long term solution",Study First,Prioritizing studies first and reducing distractions may help improve academic performance and reduce stress.
"I am stressed about exams and cannot focus properly, while I worry about future stability",Study First,Prioritizing studies first and reducing distractions may help improve academic performance and reduce stress.
"Upcoming exams are making me anxious and distracted, and I need better clarity before moving forward",Study First,Prioritizing studies first and reducing distractions may help improve academic performance and reduce stress.
"Assignments and deadlines are overwhelming me, and I feel confused about what to choose",Study First,Prioritizing studies first and reducing distractions may help improve academic performance and reduce stress.
"Study pressure is affecting my confidence, while my family expects quick decisions",Study First,Prioritizing studies first and reducing distractions may help improve academic performance and reduce stress.
"I cannot balance preparation and daily responsibilities, and this is affecting my peace of mind",Study First,Prioritizing studies first and reducing distractions may help improve academic performance and reduce stress.
"My grades are dropping because of stress, and I want a practical long term solution",Study First,Prioritizing studies first and reducing distractions may help improve academic performance and reduce stress.
"Relationship issues are disturbing my academic focus, while I worry about future stability",Study First,Prioritizing studies first and reducing distractions may help improve academic performance and reduce stress.
"I keep procrastinating and exams are getting closer, and I need better clarity before moving forward",Study First,Prioritizing studies first and reducing distractions may help improve academic performance and reduce stress.
"Upcoming exams are making me anxious and distracted, even with family expectations are pushing me toward a job first, I think studies should remain the first priority",Study First,Prioritizing studies first and reducing distractions may help improve academic performance and reduce stress.
"Study pressure is affecting my confidence, even with i want specialization before entering the job market, I think studies should remain the first priority",Study First,Prioritizing studies first and reducing distractions may help improve academic performance and reduce stress.
"Upcoming exams are making me anxious and distracted, even with my family depends on my income for support, I think studies should remain the first priority",Study First,Prioritizing studies first and reducing distractions may help improve academic performance and reduce stress.
"I am stressed about exams and cannot focus properly, even with there is pressure at home because of money problems, I think studies should remain the first priority",Study First,Prioritizing studies first and reducing distractions may help improve academic performance and reduce stress.
"Study pressure is affecting my confidence, even with i want to pursue masters and focus on long term growth, I think studies should remain the first priority",Study First,Prioritizing studies first and reducing distractions may help improve academic performance and reduce stress.
"Study pressure is affecting my confidence, even with i feel lost and cannot decide what is right for me, I think studies should remain the first priority",Study First,Prioritizing studies first and reducing distractions may help improve academic performance and reduce stress.
"I keep procrastinating and exams are getting closer, even with i am confused between job and higher studies and want both, I think studies should remain the first priority",Study First,Prioritizing studies first and reducing distractions may help improve academic performance and reduce stress.
"Assignments and deadlines are overwhelming me, even with i feel burnout and cannot stay productive anymore, I think studies should remain the first priority",Study First,Prioritizing studies first and reducing distractions may help improve academic performance and reduce stress.
"I cannot balance preparation and daily responsibilities, even with moving abroad for studies feels like the right step, I think studies should remain the first priority",Study First,Prioritizing studies first and reducing distractions may help improve academic performance and reduce stress.
"My grades are dropping because of stress, even with there is pressure at home because of money problems, I think studies should remain the first priority",Study First,Prioritizing studies first and reducing distractions may help improve academic performance and reduce stress.
"Relationship issues are disturbing my academic focus, even with i cannot delay earning because responsibilities are urgent, I think studies should remain the first priority",Study First,Prioritizing studies first and reducing distractions may help improve academic performance and reduce stress.
"My grades are dropping because of stress, even with i am confused between job and higher studies and want both, I think studies should remain the first priority",Study First,Prioritizing studies first and reducing distractions may help improve academic performance and reduce stress.
"I keep procrastinating and exams are getting closer, even with my family depends on my income for support, I think studies should remain the first priority",Study First,Prioritizing studies first and reducing distractions may help improve academic performance and reduce stress.
"Upcoming exams are making me anxious and distracted, even with i want job security without giving up education goals, I think studies should remain the first priority",Study First,Prioritizing studies first and reducing distractions may help improve academic performance and reduce stress.
