input_text,target_label,target_output
"I feel mentally tired because of relationship breakup and responsibility to support family, while trying to pursue software job.",Counseling Needed,"Your emotional wellbeing should be the first priority right now. Before major career decisions, focus on mental clarity, emotional recovery, and support from trusted people."
"My life feels stressful due to low self-confidence and responsibility to support family, and I want to focus on study abroad.",Higher Studies,"If long-term career growth matters most, higher studies offer better professional exposure and stronger future opportunities through discipline and preparation."
My family pressure from emotional exhaustion and comparison with friends is affecting my decision about stable job.,Counseling Needed,Emotional recovery is not a delay—it is part of progress. Taking care of mental peace first creates better long-term decisions and healthier growth.
"My life feels stressful due to family financial pressure and poor concentration, and I want to focus on government exam preparation.",Job First,A job-first approach helps manage urgent financial responsibilities while keeping future higher studies possible through gradual preparation and savings.
"I feel mentally tired because of emotional exhaustion and relationship breakup, while trying to pursue study abroad.",Counseling Needed,"Your emotional wellbeing should be the first priority right now. Before major career decisions, focus on mental clarity, emotional recovery, and support from trusted people."
"Due to low self-confidence and household financial burden, I feel stuck while thinking about family business.",Balanced Plan,You do not need extreme decisions right now. A balanced plan allows financial stability and career growth to happen together through patience and consistency.
"Life is difficult because of responsibility to support family and urgent financial needs, and I am confused about bank exam preparation.",Job First,"When financial pressure is high, earning first can protect both family stability and personal confidence. Long-term education goals can still continue step by step."
"I am facing family health expenses and relationship breakup, but I also want family business.",Counseling Needed,Emotional recovery is not a delay—it is part of progress. Taking care of mental peace first creates better long-term decisions and healthier growth.
"I am facing household financial burden and exam stress, but I also want bank exam preparation.",Study First,"Before chasing bigger career goals, stabilizing your studies is important. Strong academic performance builds confidence and opens better opportunities later."
"I am facing exam stress and competitive exam preparation, but I also want study abroad.",Higher Studies,"Choosing higher studies now can build stronger career value later. Scholarships, preparation, and consistency can help manage financial obstacles."
"I am facing education loan stress and exam stress, but I also want study abroad.",Job First,Starting with a stable job may be the most practical decision right now. Immediate financial support can reduce family pressure and create stability for future growth.
My family pressure from competitive exam preparation and low family income is affecting my decision about stable job.,Balanced Plan,A balanced approach is the best option here. Managing immediate responsibilities while slowly preparing for long-term goals can reduce regret and pressure.
"I want higher studies, but fear of future and need immediate income are making things difficult.",Job First,"When financial pressure is high, earning first can protect both family stability and personal confidence. Long-term education goals can still continue step by step."
"I am worried because of anxiety and semester pressure, but my future goal is study abroad.",Counseling Needed,"Your emotional wellbeing should be the first priority right now. Before major career decisions, focus on mental clarity, emotional recovery, and support from trusted people."
"My life feels stressful due to education loan stress and entrance exam stress, and I want to focus on software job.",Job First,"When financial pressure is high, earning first can protect both family stability and personal confidence. Long-term education goals can still continue step by step."
"I feel mentally tired because of semester pressure and comparison with friends, while trying to pursue higher studies.",Higher Studies,"Choosing higher studies now can build stronger career value later. Scholarships, preparation, and consistency can help manage financial obstacles."
