input_text,target_label,target_output
"I am stressed about exams and cannot focus properly, even with my family needs financial support and i need income soon, I think studies should remain first priority, and I feel confused about what to choose, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"Upcoming exams are making me anxious, even with i want to pursue masters and focus on long term growth, I think studies should remain first priority, while my family expects quick decisions, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"Assignments and deadlines are overwhelming me, even with i am confused between job and higher studies and want both, I think studies should remain first priority, and this is affecting my peace of mind, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"Study pressure is affecting my confidence, even with stress and anxiety are affecting my decisions badly, I think studies should remain first priority, and I want a practical long term solution, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"I cannot balance preparation and daily responsibilities, even with there is pressure at home because of money problems, I think studies should remain first priority, while I worry about future stability, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"I am stressed about exams and cannot focus properly, even with research and higher education interest me more than a job, I think studies should remain first priority, and I need better clarity before moving forward, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"Upcoming exams are making me anxious, even with i want financial stability and future education together, I think studies should remain first priority, and I feel confused about what to choose, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"Assignments and deadlines are overwhelming me, even with depression is making it hard to stay motivated, I think studies should remain first priority, while my family expects quick decisions, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"Study pressure is affecting my confidence, even with loan pressure is making me think about immediate employment, I think studies should remain first priority, and this is affecting my peace of mind, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"I cannot balance preparation and daily responsibilities, even with moving abroad for studies feels like the right step, I think studies should remain first priority, and I want a practical long term solution, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"I am stressed about exams and cannot focus properly, even with i want to support my family while preparing for masters, I think studies should remain first priority, while I worry about future stability, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"Upcoming exams are making me anxious, even with i feel lost and cannot decide what is right for me, I think studies should remain first priority, and I need better clarity before moving forward, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"Assignments and deadlines are overwhelming me, even with family expectations are pushing me toward a job first, I think studies should remain first priority, and I feel confused about what to choose, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"Study pressure is affecting my confidence, even with i want to prepare for competitive exams and higher studies, I think studies should remain first priority, while my family expects quick decisions, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"I cannot balance preparation and daily responsibilities, even with part time work and studies both seem important to me, I think studies should remain first priority, and this is affecting my peace of mind, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"I am stressed about exams and cannot focus properly, even with i feel mentally exhausted and emotionally drained, I think studies should remain first priority, and I want a practical long term solution, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"Upcoming exams are making me anxious, even with my family needs financial support and i need income soon, I think studies should remain first priority, while I worry about future stability, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"Assignments and deadlines are overwhelming me, even with i want to pursue masters and focus on long term growth, I think studies should remain first priority, and I need better clarity before moving forward, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"Study pressure is affecting my confidence, even with i need income now but i also want to continue learning, I think studies should remain first priority, and I feel confused about what to choose, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"I cannot balance preparation and daily responsibilities, even with stress and anxiety are affecting my decisions badly, I think studies should remain first priority, while my family expects quick decisions, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"I am stressed about exams and cannot focus properly, even with there is pressure at home because of money problems, I think studies should remain first priority, and this is affecting my peace of mind, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"Upcoming exams are making me anxious, even with i want specialization before entering the job market, I think studies should remain first priority, and I want a practical long term solution, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"Assignments and deadlines are overwhelming me, even with i want financial stability and future education together, I think studies should remain first priority, while I worry about future stability, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"Study pressure is affecting my confidence, even with depression is making it hard to stay motivated, I think studies should remain first priority, and I need better clarity before moving forward, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"I cannot balance preparation and daily responsibilities, even with i need stable income because expenses are increasing, I think studies should remain first priority, and I feel confused about what to choose, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"I am stressed about exams and cannot focus properly, even with moving abroad for studies feels like the right step, I think studies should remain first priority, while my family expects quick decisions, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"Upcoming exams are making me anxious, even with i want to support my family while preparing for masters, I think studies should remain first priority, and this is affecting my peace of mind, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"Assignments and deadlines are overwhelming me, even with emotional stress is making every decision harder, I think studies should remain first priority, and I want a practical long term solution, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"Study pressure is affecting my confidence, even with family expectations are pushing me toward a job first, I think studies should remain first priority, while I worry about future stability, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"I cannot balance preparation and daily responsibilities, even with i want to prepare for competitive exams and higher studies, I think studies should remain first priority, and I need better clarity before moving forward, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"I am stressed about exams and cannot focus properly, even with i am confused between job and higher studies and want both, I think studies should remain first priority, and I feel confused about what to choose, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"Upcoming exams are making me anxious, even with i feel mentally exhausted and emotionally drained, I think studies should remain first priority, while my family expects quick decisions, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"Assignments and deadlines are overwhelming me, even with my family needs financial support and i need income soon, I think studies should remain first priority, and this is affecting my peace of mind, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"Study pressure is affecting my confidence, even with research and higher education interest me more than a job, I think studies should remain first priority, and I want a practical long term solution, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"I cannot balance preparation and daily responsibilities, even with i need income now but i also want to continue learning, I think studies should remain first priority, while I worry about future stability, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"I am stressed about exams and cannot focus properly, even with stress and anxiety are affecting my decisions badly, I think studies should remain first priority, and I need better clarity before moving forward, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"Upcoming exams are making me anxious, even with loan pressure is making me think about immediate employment, I think studies should remain first priority, and I feel confused about what to choose, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"Assignments and deadlines are overwhelming me, even with i want specialization before entering the job market, I think studies should remain first priority, while my family expects quick decisions, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"Study pressure is affecting my confidence, even with i want financial stability and future education together, I think studies should remain first priority, and this is affecting my peace of mind, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"I cannot balance preparation and daily responsibilities, even with i feel lost and cannot decide what is right for me, I think studies should remain first priority, and I want a practical long term solution, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"I am stressed about exams and cannot focus properly, even with i need stable income because expenses are increasing, I think studies should remain first priority, while I worry about future stability, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"Upcoming exams are making me anxious, even with moving abroad for studies feels like the right step, I think studies should remain first priority, and I need better clarity before moving forward, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"Assignments and deadlines are overwhelming me, even with part time work and studies both seem important to me, I think studies should remain first priority, and I feel confused about what to choose, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"Study pressure is affecting my confidence, even with emotional stress is making every decision harder, I think studies should remain first priority, while my family expects quick decisions, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"I cannot balance preparation and daily responsibilities, even with family expectations are pushing me toward a job first, I think studies should remain first priority, and this is affecting my peace of mind, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"I am stressed about exams and cannot focus properly, even with i want to pursue masters and focus on long term growth, I think studies should remain first priority, and I want a practical long term solution, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"Upcoming exams are making me anxious, even with i am confused between job and higher studies and want both, I think studies should remain first priority, while I worry about future stability, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"Assignments and deadlines are overwhelming me, even with i feel mentally exhausted and emotionally drained, I think studies should remain first priority, and I need better clarity before moving forward, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"Study pressure is affecting my confidence, even with there is pressure at home because of money problems, I think studies should remain first priority, and I feel confused about what to choose, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"I cannot balance preparation and daily responsibilities, even with research and higher education interest me more than a job, I think studies should remain first priority, while my family expects quick decisions, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"I am stressed about exams and cannot focus properly, even with i need income now but i also want to continue learning, I think studies should remain first priority, and this is affecting my peace of mind, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"Upcoming exams are making me anxious, even with depression is making it hard to stay motivated, I think studies should remain first priority, and I want a practical long term solution, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
"Assignments and deadlines are overwhelming me, even with loan pressure is making me think about immediate employment, I think studies should remain first priority, while I worry about future stability, ",Study First,Prioritize studies first and reduce distractions to improve academic performance.
