input_text,target_label,target_output
"Because of relationship breakup, mental burnout, and low self-confidence, I feel confused about choosing bank exam preparation.",Counseling Needed,"When emotional stress becomes too heavy, decisions become unclear. Stabilizing mental health first leads to better long-term outcomes."
"I feel mentally tired because of relationship breakup, loan pressure, and low CGPA, while trying to pursue higher studies.",Higher Studies,"Higher studies can create stronger long-term career opportunities and better professional growth. With discipline and planning, financial obstacles can be managed."
"Because of low self-confidence, relationship breakup, and project submission pressure, I feel confused about choosing family business.",Balanced Plan,A balanced approach is best here. Managing current responsibilities while preparing slowly for long-term goals reduces regret and creates sustainable growth.
"I am worried because of family health expenses, mental burnout, and loan pressure, but my future goal is MBA preparation.",Job First,Immediate income should be prioritized first so present responsibilities are handled safely while keeping future education plans alive.
"Because of backlogs, poor concentration, and low family income, I feel confused about choosing startup idea.",Balanced Plan,You do not need extreme decisions right now. Balance financial stability and career preparation together through patience and realistic planning.
"Because of household financial burden, family health expenses, and comparison with friends, I feel confused about choosing bank exam preparation.",Balanced Plan,A balanced approach is best here. Managing current responsibilities while preparing slowly for long-term goals reduces regret and creates sustainable growth.
"I am facing low family income, emotional exhaustion, and family health expenses, but I also want higher studies.",Higher Studies,"Higher studies can create stronger long-term career opportunities and better professional growth. With discipline and planning, financial obstacles can be managed."
"Because of toxic relationship, low family income, and loan pressure, I feel confused about choosing research career.",Higher Studies,"Higher studies can create stronger long-term career opportunities and better professional growth. With discipline and planning, financial obstacles can be managed."
"My family pressure from education loan stress, need immediate income, and anxiety is affecting my decision about research career.",Job First,Starting with a stable job may be the most practical step right now. Financial stability can reduce family pressure and create room for future growth.
"I am worried because of relationship breakup, family financial pressure, and backlogs, but my future goal is startup idea.",Balanced Plan,A balanced approach is best here. Managing current responsibilities while preparing slowly for long-term goals reduces regret and creates sustainable growth.
"I am struggling with competitive exam preparation, loan pressure, project submission pressure, and I cannot decide how to manage MBA preparation.",Balanced Plan,You do not need extreme decisions right now. Balance financial stability and career preparation together through patience and realistic planning.
"I am struggling with assignment pressure, need immediate income, entrance exam stress, and I cannot decide how to manage government exam preparation.",Study First,"Strengthening your academic foundation should come first. Improving grades, reducing backlogs, and building study discipline will create better opportunities later."
"I am worried because of backlogs, education loan stress, and exam stress, but my future goal is government exam preparation.",Study First,"Before chasing major career decisions, stabilizing your studies is important. Academic consistency now creates stronger long-term options."
"I am struggling with household financial burden, assignment pressure, family financial pressure, and I cannot decide how to manage family business.",Balanced Plan,You do not need extreme decisions right now. Balance financial stability and career preparation together through patience and realistic planning.
"Because of need immediate income, urgent financial needs, and exam stress, I feel confused about choosing study abroad.",Job First,Starting with a stable job may be the most practical step right now. Financial stability can reduce family pressure and create room for future growth.
"I feel mentally tired because of project submission pressure, assignment pressure, and need immediate income, while trying to pursue stable job.",Balanced Plan,You do not need extreme decisions right now. Balance financial stability and career preparation together through patience and realistic planning.
"My life feels stressful due to need immediate income, comparison with friends, and lack of motivation, while I want to focus on MBA preparation.",Balanced Plan,You do not need extreme decisions right now. Balance financial stability and career preparation together through patience and realistic planning.
"Because of father lost job, family health expenses, and relationship breakup, I feel confused about choosing higher studies.",Job First,Immediate income should be prioritized first so present responsibilities are handled safely while keeping future education plans alive.
"Due to backlogs, low self-confidence, and mental burnout, I feel stuck while thinking about MBA preparation.",Balanced Plan,A balanced approach is best here. Managing current responsibilities while preparing slowly for long-term goals reduces regret and creates sustainable growth.
"I am worried because of competitive exam preparation, lack of motivation, and fear of failure, but my future goal is family business.",Balanced Plan,A balanced approach is best here. Managing current responsibilities while preparing slowly for long-term goals reduces regret and creates sustainable growth.
