input_text,target_output
I am stressed because of family business pressure. Should I focus on supporting temporarily or personal career planning? I want a realistic long-term plan.,"Action reduces anxiety better than overthinking. Handle family business pressure by focusing on supporting temporarily, and keep personal career planning as a structured next step. This keeps your balanced responsibility realistic and sustainable."
I keep overthinking because of imposter syndrome. What is better: building projects or improving consistency? Please guide me.,Do not let imposter syndrome force a rushed life decision. A practical approach is to start with building projects and slowly build toward improving consistency. This creates stronger long-term self-confidence and reduces emotional pressure.
I am confused due to mental burnout. Should I prioritize rest and recovery or move toward structured planning? I want a realistic long-term plan.,"Your goal should be steady progress, not instant success. Since mental burnout is affecting your decisions, prioritize rest and recovery now and plan structured planning carefully for later. This protects both emotional health and long-term consistency."
I am stressed because of government exam failure. Should I focus on trying again or exploring private sector jobs? Please guide me.,"Action reduces anxiety better than overthinking. Handle government exam failure by focusing on trying again, and keep exploring private sector jobs as a structured next step. This keeps your career security realistic and sustainable."
"Because of imposter syndrome, I have zero motivation. I need help choosing between building projects and improving consistency. Please guide me.","Action reduces anxiety better than overthinking. Handle imposter syndrome by focusing on building projects, and keep improving consistency as a structured next step. This keeps your self-confidence realistic and sustainable."
"Because of toxic college environment, I have zero motivation. I need help choosing between self-learning online and changing peer group. I want a realistic long-term plan.","Right now, stability matters more than perfection. Because of toxic college environment, choosing self-learning online first can help you build confidence and security before moving toward changing peer group. This supports your overall peace of mind."
I am confused due to government exam failure. Should I prioritize trying again or move toward exploring private sector jobs? I want a realistic long-term plan.,"Action reduces anxiety better than overthinking. Handle government exam failure by focusing on trying again, and keep exploring private sector jobs as a structured next step. This keeps your career security realistic and sustainable."
I keep overthinking because of relationship breakup. What is better: focusing on exams or taking emotional recovery time? I need practical advice.,Do not let relationship breakup force a rushed life decision. A practical approach is to start with focusing on exams and slowly build toward taking emotional recovery time. This creates stronger long-term mental peace and reduces emotional pressure.
Life feels stuck because of scholarship rejection. I need practical advice for choosing reapplying strategically or alternative funding. Can you help me choose the better path?,Do not let scholarship rejection force a rushed life decision. A practical approach is to start with reapplying strategically and slowly build toward alternative funding. This creates stronger long-term academic continuity and reduces emotional pressure.
I feel mentally tired because of living in a small town. Should I go for moving to a tech city or focus on remote work preparation? Help me decide wisely.,Do not let living in a small town force a rushed life decision. A practical approach is to start with moving to a tech city and slowly build toward remote work preparation. This creates stronger long-term professional exposure and reduces emotional pressure.
I feel mentally tired because of low CGPA. Should I go for upskilling or focus on off-campus applications? What should I do next?,"Clarity should come before speed. Since you are facing low CGPA, focus first on upskilling while keeping off-campus applications as a long-term plan. This protects your career growth without creating unnecessary burnout or regret."
I am stressed because of comparison with friends. Should I focus on self-improvement or ignoring unhealthy competition? I want a realistic long-term plan.,"Clarity should come before speed. Since you are facing comparison with friends, focus first on self-improvement while keeping ignoring unhealthy competition as a long-term plan. This protects your personal growth without creating unnecessary burnout or regret."
"Because of internship rejection, I have zero motivation. I need help choosing between portfolio improvement and new applications. Help me decide wisely.","Right now, stability matters more than perfection. Because of internship rejection, choosing portfolio improvement first can help you build confidence and security before moving toward new applications. This supports your overall practical experience."
Everyone seems ahead of me and I am stuck with mental burnout. Is rest and recovery better than structured planning? Please guide me.,"Right now, stability matters more than perfection. Because of mental burnout, choosing rest and recovery first can help you build confidence and security before moving toward structured planning. This supports your overall long-term consistency."
I keep overthinking because of social media distraction. What is better: deactivating apps or focusing on coding? Help me decide wisely.,"Action reduces anxiety better than overthinking. Handle social media distraction by focusing on deactivating apps, and keep focusing on coding as a structured next step. This keeps your undistracted growth realistic and sustainable."
Everyone seems ahead of me and I am stuck with family financial crisis. Is taking a job first better than higher studies later? Can you help me choose the better path?,"Clarity should come before speed. Since you are facing family financial crisis, focus first on taking a job first while keeping higher studies later as a long-term plan. This protects your financial stability without creating unnecessary burnout or regret."
I feel mentally tired because of mental burnout. Should I go for rest and recovery or focus on structured planning? Help me decide wisely.,"Your goal should be steady progress, not instant success. Since mental burnout is affecting your decisions, prioritize rest and recovery now and plan structured planning carefully for later. This protects both emotional health and long-term consistency."
I feel like a failure because of placement rejection. I cannot decide between freelancing and startup applications. Help me decide wisely.,"Your goal should be steady progress, not instant success. Since placement rejection is affecting your decisions, prioritize freelancing now and plan startup applications carefully for later. This protects both emotional health and professional stability."
I keep overthinking because of relationship breakup. What is better: focusing on exams or taking emotional recovery time? Help me decide wisely.,"Your goal should be steady progress, not instant success. Since relationship breakup is affecting your decisions, prioritize focusing on exams now and plan taking emotional recovery time carefully for later. This protects both emotional health and mental peace."
I feel mentally tired because of study abroad dream. Should I go for scholarship preparation or focus on financial planning? I want a realistic long-term plan.,"Your goal should be steady progress, not instant success. Since study abroad dream is affecting your decisions, prioritize scholarship preparation now and plan financial planning carefully for later. This protects both emotional health and global opportunities."
"Because of relationship breakup, I have zero motivation. I need help choosing between focusing on exams and taking emotional recovery time. Help me decide wisely.",Do not let relationship breakup force a rushed life decision. A practical approach is to start with focusing on exams and slowly build toward taking emotional recovery time. This creates stronger long-term mental peace and reduces emotional pressure.
My family keeps pressuring me because of low CGPA. Should I choose upskilling or try off-campus applications? I need practical advice.,"Action reduces anxiety better than overthinking. Handle low CGPA by focusing on upskilling, and keep off-campus applications as a structured next step. This keeps your career growth realistic and sustainable."
I feel mentally tired because of scholarship rejection. Should I go for reapplying strategically or focus on alternative funding? I want a realistic long-term plan.,"Right now, stability matters more than perfection. Because of scholarship rejection, choosing reapplying strategically first can help you build confidence and security before moving toward alternative funding. This supports your overall academic continuity."
I feel mentally tired because of family financial crisis. Should I go for taking a job first or focus on higher studies later? Please suggest the safest option.,"Clarity should come before speed. Since you are facing family financial crisis, focus first on taking a job first while keeping higher studies later as a long-term plan. This protects your financial stability without creating unnecessary burnout or regret."
"Because of government exam failure, I have zero motivation. I need help choosing between trying again and exploring private sector jobs. Can you help me choose the better path?","Clarity should come before speed. Since you are facing government exam failure, focus first on trying again while keeping exploring private sector jobs as a long-term plan. This protects your career security without creating unnecessary burnout or regret."
My future feels uncertain because of imposter syndrome. Is building projects safer than improving consistency? Please suggest the safest option.,"Action reduces anxiety better than overthinking. Handle imposter syndrome by focusing on building projects, and keep improving consistency as a structured next step. This keeps your self-confidence realistic and sustainable."
