input,decision
I have no clear direction for my future. I need proper decision support. I need clarity because time is moving fast. ,Career Guidance Needed
I am confused between SSC preparation and private job. I value job safety the most. I need clarity because time is moving fast. ,Government Exam Path
I want to prepare for state public service exams. I believe government jobs offer peace of mind. I keep overthinking this decision every day. ,Government Exam Path
my father lost his job. I want to help my parents financially. I want to make the right long-term decision. ,Job First (Financial Stability)
I want to prepare for exams while working. I want disciplined dual progress. I do not want to regret my decision later. ,Balanced Job + Study Plan
"I need more practical exposure. I want to build practical confidence. I want a realistic path, not just motivation. ",Skill Development First
I cannot decide what career suits me. I want confidence in my decisions. This situation is creating a lot of pressure for me. ,Career Guidance Needed
"I do not understand my strengths clearly. I want confidence in my decisions. I want a realistic path, not just motivation. ",Career Guidance Needed
I do not understand my strengths clearly. I do not want future regret. I do not want to regret my decision later. ,Career Guidance Needed
family emotional pressure is affecting me. I cannot focus on future planning. This is affecting both my confidence and planning. ,Emotional Counseling Needed
my younger siblings depend on me. I want to help my parents financially. I want practical advice for my future. ,Job First (Financial Stability)
I feel lost about my next step. I need help understanding my direction. This is affecting both my confidence and planning. ,Career Guidance Needed
I want financial stability without giving up higher studies. I believe balance is better than extremes. I do not want to regret my decision later. ,Balanced Job + Study Plan
"I am considering railway exam preparation. I want stable income and benefits. I want a realistic path, not just motivation. ",Government Exam Path
I am struggling with self-doubt. I feel pressure from inside and outside. I want to make the right long-term decision. ,Emotional Counseling Needed
I need more practical exposure. I feel I need internships first. I keep overthinking this decision every day. ,Skill Development First
I have no clear direction for my future. I need clarity before choosing a path. I want to make the right long-term decision. ,Career Guidance Needed
I am thinking about banking exams. I am scared of private job uncertainty. I keep overthinking this decision every day. ,Government Exam Path
"I want better long-term career growth. I want a better professional profile. I want a realistic path, not just motivation. ",Higher Studies First
we are facing serious financial problems at home. I may need to postpone higher studies. I need clarity because time is moving fast. ,Job First (Financial Stability)
my coding skills are weak. I want to avoid rushed decisions. I need clarity because time is moving fast. ,Skill Development First
I lack confidence in interviews. I want to improve before applying for jobs. This situation is creating a lot of pressure for me. ,Skill Development First
I need internship experience first. I want better confidence before career decisions. This is affecting both my confidence and planning. ,Skill Development First
"my family depends on me financially. I feel responsibility is more important right now. I want a realistic path, not just motivation. ",Job First (Financial Stability)
I cannot decide what career suits me. I am scared of making the wrong decision. I do not want to regret my decision later. ,Career Guidance Needed
I want to pursue MBA. I am confused between a small job and further education. I do not want to regret my decision later. ,Higher Studies First
my father lost his job. I need a stable income quickly. I want to make the right long-term decision. ,Job First (Financial Stability)
I need more practical exposure. I want to improve before applying for jobs. I do not want to regret my decision later. ,Skill Development First
I want better long-term career growth. I think higher studies may help me more in the future. I want practical advice for my future. ,Higher Studies First
