input_text,target_label,target_output
I am stressed about exams and cannot focus properly,Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I am stressed about exams and cannot focus properly, and this is affecting my confidence",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
Upcoming exams are making me anxious and distracted,Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Upcoming exams are making me anxious and distracted, while my family expects quick decisions",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
Academic pressure is affecting my sleep and peace of mind,Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Academic pressure is affecting my sleep and peace of mind, while I also worry about long term stability",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
I feel overwhelmed by assignments and deadlines,Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"I feel overwhelmed by assignments and deadlines, while I want to make the right decision",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
Time management problems are ruining my study routine,Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
"Time management problems are ruining my study routine, and this is affecting my confidence",Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
My family needs financial support and I need income soon,Job First,Taking a job first may help stabilize finances while keeping future education opportunities open.
"My family needs financial support and I need income soon, while my family expects quick decisions",Job First,Taking a job first may help stabilize finances while keeping future education opportunities open.
There is strong pressure at home because of money problems,Job First,Taking a job first may help stabilize finances while keeping future education opportunities open.
"There is strong pressure at home because of money problems, while I also worry about long term stability",Job First,Taking a job first may help stabilize finances while keeping future education opportunities open.
I feel responsible for helping my family financially,Job First,Taking a job first may help stabilize finances while keeping future education opportunities open.
"I feel responsible for helping my family financially, while I want to make the right decision",Job First,Taking a job first may help stabilize finances while keeping future education opportunities open.
Loan pressure is making me think about immediate employment,Job First,Taking a job first may help stabilize finances while keeping future education opportunities open.
"Loan pressure is making me think about immediate employment, and this is affecting my confidence",Job First,Taking a job first may help stabilize finances while keeping future education opportunities open.
Family expectations are pushing me toward a job first,Job First,Taking a job first may help stabilize finances while keeping future education opportunities open.
"Family expectations are pushing me toward a job first, while my family expects quick decisions",Job First,Taking a job first may help stabilize finances while keeping future education opportunities open.
I want to pursue masters and focus on long term growth,Higher Studies,Choosing higher studies may support long term academic growth and better future opportunities.
"I want to pursue masters and focus on long term growth, while I also worry about long term stability",Higher Studies,Choosing higher studies may support long term academic growth and better future opportunities.
Research and higher education interest me more than a job,Higher Studies,Choosing higher studies may support long term academic growth and better future opportunities.
"Research and higher education interest me more than a job, while I want to make the right decision",Higher Studies,Choosing higher studies may support long term academic growth and better future opportunities.
I want specialization before entering the job market,Higher Studies,Choosing higher studies may support long term academic growth and better future opportunities.
"I want specialization before entering the job market, and this is affecting my confidence",Higher Studies,Choosing higher studies may support long term academic growth and better future opportunities.
Moving abroad for studies feels like the right step,Higher Studies,Choosing higher studies may support long term academic growth and better future opportunities.
"Moving abroad for studies feels like the right step, while my family expects quick decisions",Higher Studies,Choosing higher studies may support long term academic growth and better future opportunities.
Advanced education may help my future career growth,Higher Studies,Choosing higher studies may support long term academic growth and better future opportunities.
"Advanced education may help my future career growth, while I also worry about long term stability",Higher Studies,Choosing higher studies may support long term academic growth and better future opportunities.
I am confused between job and higher studies and want both,Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
"I am confused between job and higher studies and want both, while I want to make the right decision",Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
I need income now but I also want to continue learning,Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
"I need income now but I also want to continue learning, and this is affecting my confidence",Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
I want financial stability and future education together,Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
"I want financial stability and future education together, while my family expects quick decisions",Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
I want to support my family while preparing for masters,Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
"I want to support my family while preparing for masters, while I also worry about long term stability",Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
Balancing career growth and academics feels necessary,Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
"Balancing career growth and academics feels necessary, while I want to make the right decision",Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
I feel mentally exhausted and emotionally drained,Counseling Needed,Seeking guidance from a mentor or counselor may help restore clarity and support better long term decisions.
"I feel mentally exhausted and emotionally drained, and this is affecting my confidence",Counseling Needed,Seeking guidance from a mentor or counselor may help restore clarity and support better long term decisions.
Stress and anxiety are affecting my decisions badly,Counseling Needed,Seeking guidance from a mentor or counselor may help restore clarity and support better long term decisions.
"Stress and anxiety are affecting my decisions badly, while my family expects quick decisions",Counseling Needed,Seeking guidance from a mentor or counselor may help restore clarity and support better long term decisions.
Depression is making it hard to stay motivated,Counseling Needed,Seeking guidance from a mentor or counselor may help restore clarity and support better long term decisions.
"Depression is making it hard to stay motivated, while I also worry about long term stability",Counseling Needed,Seeking guidance from a mentor or counselor may help restore clarity and support better long term decisions.
I feel lost and cannot decide what is right for me,Counseling Needed,Seeking guidance from a mentor or counselor may help restore clarity and support better long term decisions.
"I feel lost and cannot decide what is right for me, while I want to make the right decision",Counseling Needed,Seeking guidance from a mentor or counselor may help restore clarity and support better long term decisions.
Emotional stress is making every decision harder,Counseling Needed,Seeking guidance from a mentor or counselor may help restore clarity and support better long term decisions.
"Emotional stress is making every decision harder, and this is affecting my confidence",Counseling Needed,Seeking guidance from a mentor or counselor may help restore clarity and support better long term decisions.
"I am stressed about exams and cannot focus properly, and also my family needs financial support and i need income soon",Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
"I am stressed about exams and cannot focus properly, and also my family needs financial support and i need income soon, while my family expects quick decisions",Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
"I am stressed about exams and cannot focus properly, and also there is strong pressure at home because of money problems",Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
"I am stressed about exams and cannot focus properly, and also there is strong pressure at home because of money problems, while I also worry about long term stability",Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
"I am stressed about exams and cannot focus properly, and also i feel responsible for helping my family financially",Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
"I am stressed about exams and cannot focus properly, and also i feel responsible for helping my family financially, while I want to make the right decision",Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
"I am stressed about exams and cannot focus properly, and also loan pressure is making me think about immediate employment",Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
"I am stressed about exams and cannot focus properly, and also loan pressure is making me think about immediate employment, and this is affecting my confidence",Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
"I am stressed about exams and cannot focus properly, and also family expectations are pushing me toward a job first",Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
