input,decision
"Hey, resume is blank - no projects, no internships. I should build strong skills before thinking about placements or higher studies. I am studying in Pune University Nagpur.",Skill Development First
Keep changing my mind every week. Need someone experienced to show me right path. I am studying in Pune University Nashik.,Career Guidance Needed
"Hey, my mother needs surgery and we have no savings. I was planning MPSC but now I think job first is the only option. I am studying in IIT Madras Nagpur.",Job First (Financial Stability)
My parents strongly believe only government job is safe. They want me to prepare full time for UPSC. I am studying in MIT WPU Thane.,Government Exam Path
"Hey, planning to work for 1-2 years and then do MBA so I can have both experience and better qualification. I am studying in VJTI Nashik.",Balanced Job + Study Plan
"Hey, confused between job, MBA, government exams and startup. No clear direction at all. I am studying in Amity Nagpur.",Career Guidance Needed
Got offer from TCS but I also want to prepare for CAT. Will join job and study side by side. I am studying in IIT Bombay Nashik.,Balanced Job + Study Plan
Constant family pressure + studies ne mera burnout kar diya hai. I need someone to talk to. I am studying in IIT Madras Nagpur.,Emotional Counseling Needed
"Hey, have a part-time job and will prepare for government exams simultaneously. I am studying in VJTI Chennai.",Balanced Job + Study Plan
I got admission in MBA at IIM Ahmedabad but family is worried about money. Still I believe this is the best investment for my future. I am studying in IIT Bombay Thane.,Higher Studies First
Have a part-time job and will prepare for government exams simultaneously. I am studying in Symbiosis Bangalore.,Balanced Job + Study Plan
"After dad's sudden death, all responsibility came on me. Higher studies feel like a luxury I can't afford anymore. I am studying in IIT Madras Aurangabad.",Job First (Financial Stability)
Will help in family business in morning and continue MCA in evening batch. I am studying in VJTI Delhi.,Balanced Job + Study Plan
I got admission in MBA at IIM Ahmedabad but family is worried about money. Still I believe this is the best investment for my future. I am studying in local college Kolhapur.,Higher Studies First
"Hey, i got admission in MBA at IIM Ahmedabad but family is worried about money. Still I believe this is the best investment for my future. I am studying in IIT Madras Mumbai.",Higher Studies First
My mother needs surgery and we have no savings. I was planning Railway but now I think job first is the only option.,Job First (Financial Stability)
"Hey, parents want government job, I want tech, but I like business also. Completely lost. I am studying in Pune University Kolhapur.",Career Guidance Needed
"Hey, family pressure is high for government job. I am focusing only on UPSC preparation now. I am studying in COEP Kolhapur.",Government Exam Path
"Confused between job, MBA, government exams and startup. No clear direction at all. I am studying in MIT WPU Nagpur.",Career Guidance Needed
"My coding skills are very poor. Failed in 7 campus interviews. I need to focus only on DSA, projects and internships for next 6-8 months. I am studying in Amity Nashik.",Skill Development First
My mother needs surgery and we have no savings. I was planning CAT but now I think job first is the only option. I am studying in Amity Hyderabad.,Job First (Financial Stability)
My parents strongly believe only government job is safe. They want me to prepare full time for CAT. I am studying in IIT Madras Hyderabad.,Government Exam Path
