input_text,target_label,target_output
"My confidence is low because of low self-confidence, semester pressure, and competitive exam pressure, and I cannot decide if bank exam preparation is realistic.",Study First,"Before major career decisions, stabilizing your studies is important. Strong academic performance creates better options later for jobs and higher education."
"I feel guilty because of emotional exhaustion, family financial pressure, and need immediate income, while my future goal is still family business.",Job First,"A stable income may be the most practical first step. Once financial pressure reduces, future education and career growth become much easier to manage."
"I want long-term growth, but urgent medical expenses at home, family health expenses, and family financial pressure are forcing me to rethink software job.",Job First,Immediate financial stability should come first. Supporting present family responsibilities can reduce pressure and create safer long-term growth opportunities.
"Because of fear of failure, low family income, and anxiety, I feel lost between responsibility and my goal of research career.",Higher Studies,"If your long-term vision is strong, higher studies can become a valuable investment. Scholarships, preparation, and discipline make this path realistic."
"I am mentally exhausted because of depression, father lost job, and low CGPA. I do not know whether I should continue toward stable job.",Job First,Immediate financial stability should come first. Supporting present family responsibilities can reduce pressure and create safer long-term growth opportunities.
"I am mentally exhausted because of fear of failure, fear of disappointing parents, and rent and living expenses pressure. I do not know whether I should continue toward software job.",Job First,Immediate financial stability should come first. Supporting present family responsibilities can reduce pressure and create safer long-term growth opportunities.
"Life feels unstable due to comparison with friends, low CGPA, and urgent medical expenses at home, but I still hope for startup idea.",Balanced Plan,"Balance is the strongest strategy here. Financial stability, emotional wellbeing, and career growth should move together instead of sacrificing one completely."
"I feel guilty because of comparison with friends, urgent medical expenses at home, and father lost job, while my future goal is still bank exam preparation.",Job First,Immediate financial stability should come first. Supporting present family responsibilities can reduce pressure and create safer long-term growth opportunities.
"Because of household financial burden, urgent medical expenses at home, and mental burnout, I feel confused between survival and my dream of family business.",Job First,Immediate financial stability should come first. Supporting present family responsibilities can reduce pressure and create safer long-term growth opportunities.
"My confidence is low because of low CGPA, exam stress, and toxic relationship, and I cannot decide if MBA preparation is realistic.",Higher Studies,"If your long-term vision is strong, higher studies can become a valuable investment. Scholarships, preparation, and discipline make this path realistic."
"I want long-term growth, but mental burnout, low family income, and emotional exhaustion are forcing me to rethink higher studies.",Counseling Needed,"Your emotional wellbeing should come first. When mental health becomes unstable, career decisions become unclear. Recovery is part of progress, not delay."
"I want long-term growth, but fear of disappointing parents, low CGPA, and backlogs are forcing me to rethink government exam preparation.",Study First,"Before major career decisions, stabilizing your studies is important. Strong academic performance creates better options later for jobs and higher education."
"Life feels unstable due to fear of disappointing parents, responsibility to support parents, and entrance exam stress, but I still hope for family business.",Study First,"Your academic foundation should be the priority right now. Improving grades, reducing backlogs, and building consistency will create stronger future opportunities."
"Because of responsibility to support parents, need immediate income, and fear of failure, I feel lost between responsibility and my goal of research career.",Higher Studies,"If your long-term vision is strong, higher studies can become a valuable investment. Scholarships, preparation, and discipline make this path realistic."
"Because of depression, low family income, and father lost job, I feel lost between responsibility and my goal of stable job.",Job First,"A stable income may be the most practical first step. Once financial pressure reduces, future education and career growth become much easier to manage."
"Because of competitive exam pressure, project deadline pressure, and relationship breakup, I feel lost between responsibility and my goal of study abroad.",Study First,"Your academic foundation should be the priority right now. Improving grades, reducing backlogs, and building consistency will create stronger future opportunities."
"Life feels unstable due to rent and living expenses pressure, exam stress, and household financial burden, but I still hope for government exam preparation.",Study First,"Before major career decisions, stabilizing your studies is important. Strong academic performance creates better options later for jobs and higher education."
"Everyone around me is moving ahead, but I am stuck with mental burnout, exam stress, and anxiety, and I still want software job.",Counseling Needed,"Your emotional wellbeing should come first. When mental health becomes unstable, career decisions become unclear. Recovery is part of progress, not delay."
"I am mentally exhausted because of exam stress, project deadline pressure, and poor concentration. I do not know whether I should continue toward higher studies.",Study First,"Your academic foundation should be the priority right now. Improving grades, reducing backlogs, and building consistency will create stronger future opportunities."
"Life feels unstable due to rent and living expenses pressure, toxic relationship, and need immediate income, but I still hope for government exam preparation.",Job First,"A stable income may be the most practical first step. Once financial pressure reduces, future education and career growth become much easier to manage."
