input_text,target_output
"Due to startup failure fear, I feel lost and unsure whether I should choose remote work or research career.","Since you are dealing with startup failure fear, choosing remote work first may provide immediate stability and reduce pressure. This helps you manage present responsibilities while keeping research career as a long-term goal. Financial security creates confidence, and once stability improves, future academic or personal growth becomes much easier to pursue."
I am worried about placement rejection and I am confused between software job and bank exam preparation. Please suggest the best decision.,"Since you are dealing with placement rejection, choosing software job first may provide immediate stability and reduce pressure. This helps you manage present responsibilities while keeping bank exam preparation as a long-term goal. Financial security creates confidence, and once stability improves, future academic or personal growth becomes much easier to pursue."
"Everyone around me seems ahead and because of toxic relationship, I cannot choose between higher studies and stable job.","A toxic relationship affects both focus and self-worth. Your priority should be emotional safety and mental peace. Reduce unnecessary emotional chaos, protect your boundaries, and shift your energy toward studies, skills, and long-term personal growth."
"Everyone around me seems ahead and because of toxic college environment, I cannot choose between internship preparation and stable job.","With toxic college environment affecting your confidence, starting with internship preparation is a smart way to rebuild control and self-belief. Skill development creates opportunities that remain valuable regardless of future decisions. Once you gain confidence and practical exposure, moving toward stable job becomes much easier and less risky."
My family is pressuring me because of study abroad confusion. Should I focus on higher studies or family business?,"Because of study abroad confusion, focusing on higher studies can strengthen your long-term career growth and professional opportunities. Even if family business seems practical right now, strong academic planning often creates better future stability. Choose discipline, consistency, and long-term vision over short-term fear."
I feel mentally exhausted due to backlogs in multiple subjects. I need help choosing between study abroad and research career.,"Because of backlogs in multiple subjects, focusing on study abroad can strengthen your long-term career growth and professional opportunities. Even if research career seems practical right now, strong academic planning often creates better future stability. Choose discipline, consistency, and long-term vision over short-term fear."
I am worried about peer pressure and I am confused between family business and stable job. Please suggest the best decision.,"Since you are dealing with peer pressure, choosing family business first may provide immediate stability and reduce pressure. This helps you manage present responsibilities while keeping stable job as a long-term goal. Financial security creates confidence, and once stability improves, future academic or personal growth becomes much easier to pursue."
I feel pressure because of career confusion after graduation. Can you help me decide between bank exam preparation and higher studies?,"Since you are dealing with career confusion after graduation, choosing bank exam preparation first may provide immediate stability and reduce pressure. This helps you manage present responsibilities while keeping higher studies as a long-term goal. Financial security creates confidence, and once stability improves, future academic or personal growth becomes much easier to pursue."
I feel pressure because of low CGPA. Can you help me decide between internship preparation and stable job?,"With low CGPA affecting your confidence, starting with internship preparation is a smart way to rebuild control and self-belief. Skill development creates opportunities that remain valuable regardless of future decisions. Once you gain confidence and practical exposure, moving toward stable job becomes much easier and less risky."
My family is pressuring me because of confusion between passion and stability. Should I focus on higher studies or startup idea?,"Because of confusion between passion and stability, focusing on higher studies can strengthen your long-term career growth and professional opportunities. Even if startup idea seems practical right now, strong academic planning often creates better future stability. Choose discipline, consistency, and long-term vision over short-term fear."
