input_text,target_label,target_output
I am stressed about exams and cannot focus properly,Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
Upcoming exams are making me anxious and distracted,Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
Academic pressure is affecting my sleep and peace of mind,Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
I feel overwhelmed by assignments and deadlines,Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
Time management problems are ruining my study routine,Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
I keep procrastinating and exams are getting closer,Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
Study pressure is affecting my confidence,Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
I cannot balance studies with daily responsibilities,Study First,Prioritizing studies first may help reduce stress and improve academic performance before making major decisions.
My family needs financial support and I need income soon,Job First,Taking a job first may help stabilize finances while keeping future education opportunities open.
There is strong pressure at home because of money problems,Job First,Taking a job first may help stabilize finances while keeping future education opportunities open.
I feel responsible for helping my family financially,Job First,Taking a job first may help stabilize finances while keeping future education opportunities open.
Loan pressure is making me think about immediate employment,Job First,Taking a job first may help stabilize finances while keeping future education opportunities open.
Family expectations are pushing me toward a job first,Job First,Taking a job first may help stabilize finances while keeping future education opportunities open.
I cannot delay earning because of urgent responsibilities,Job First,Taking a job first may help stabilize finances while keeping future education opportunities open.
Expenses are increasing and I need stable income,Job First,Taking a job first may help stabilize finances while keeping future education opportunities open.
Financial pressure is forcing me to think practically,Job First,Taking a job first may help stabilize finances while keeping future education opportunities open.
I want to pursue masters and focus on long term growth,Higher Studies,Choosing higher studies may support long term academic growth and better future opportunities.
Research and higher education interest me more than a job,Higher Studies,Choosing higher studies may support long term academic growth and better future opportunities.
I want specialization before entering the job market,Higher Studies,Choosing higher studies may support long term academic growth and better future opportunities.
Moving abroad for studies feels like the right step,Higher Studies,Choosing higher studies may support long term academic growth and better future opportunities.
Advanced education may help my future career growth,Higher Studies,Choosing higher studies may support long term academic growth and better future opportunities.
I want to prepare for competitive exams and higher studies,Higher Studies,Choosing higher studies may support long term academic growth and better future opportunities.
Long term learning matters more to me than immediate work,Higher Studies,Choosing higher studies may support long term academic growth and better future opportunities.
I believe higher education will improve my opportunities,Higher Studies,Choosing higher studies may support long term academic growth and better future opportunities.
I am confused between job and higher studies and want both,Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
I need income now but I also want to continue learning,Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
I want financial stability and future education together,Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
I want to support my family while preparing for masters,Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
Balancing career growth and academics feels necessary,Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
Part time work and studies both seem important to me,Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
I want a practical balance between work and learning,Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
I want job security without giving up education goals,Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
I feel mentally exhausted and emotionally drained,Counseling Needed,Seeking guidance from a mentor or counselor may help restore clarity and support better long term decisions.
Stress and anxiety are affecting my decisions badly,Counseling Needed,Seeking guidance from a mentor or counselor may help restore clarity and support better long term decisions.
Depression is making it hard to stay motivated,Counseling Needed,Seeking guidance from a mentor or counselor may help restore clarity and support better long term decisions.
I feel lost and cannot decide what is right for me,Counseling Needed,Seeking guidance from a mentor or counselor may help restore clarity and support better long term decisions.
Emotional stress is making every decision harder,Counseling Needed,Seeking guidance from a mentor or counselor may help restore clarity and support better long term decisions.
I feel burnout and cannot stay productive anymore,Counseling Needed,Seeking guidance from a mentor or counselor may help restore clarity and support better long term decisions.
Low confidence is affecting my decision making,Counseling Needed,Seeking guidance from a mentor or counselor may help restore clarity and support better long term decisions.
I think I need guidance before making major decisions,Counseling Needed,Seeking guidance from a mentor or counselor may help restore clarity and support better long term decisions.
"I am stressed about exams and cannot focus properly, and also my family needs financial support and i need income soon",Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
"I am stressed about exams and cannot focus properly, and also there is strong pressure at home because of money problems",Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
"I am stressed about exams and cannot focus properly, and also i feel responsible for helping my family financially",Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
"I am stressed about exams and cannot focus properly, and also loan pressure is making me think about immediate employment",Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
"I am stressed about exams and cannot focus properly, and also family expectations are pushing me toward a job first",Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
"I am stressed about exams and cannot focus properly, and also i cannot delay earning because of urgent responsibilities",Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
"I am stressed about exams and cannot focus properly, and also expenses are increasing and i need stable income",Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
"I am stressed about exams and cannot focus properly, and also financial pressure is forcing me to think practically",Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
"Upcoming exams are making me anxious and distracted, and also my family needs financial support and i need income soon",Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
"Upcoming exams are making me anxious and distracted, and also there is strong pressure at home because of money problems",Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
"Upcoming exams are making me anxious and distracted, and also i feel responsible for helping my family financially",Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
"Upcoming exams are making me anxious and distracted, and also loan pressure is making me think about immediate employment",Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
"Upcoming exams are making me anxious and distracted, and also family expectations are pushing me toward a job first",Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
"Upcoming exams are making me anxious and distracted, and also i cannot delay earning because of urgent responsibilities",Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
"Upcoming exams are making me anxious and distracted, and also expenses are increasing and i need stable income",Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
"Upcoming exams are making me anxious and distracted, and also financial pressure is forcing me to think practically",Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
"Academic pressure is affecting my sleep and peace of mind, and also my family needs financial support and i need income soon",Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
"Academic pressure is affecting my sleep and peace of mind, and also there is strong pressure at home because of money problems",Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
"Academic pressure is affecting my sleep and peace of mind, and also i feel responsible for helping my family financially",Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
"Academic pressure is affecting my sleep and peace of mind, and also loan pressure is making me think about immediate employment",Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
"Academic pressure is affecting my sleep and peace of mind, and also family expectations are pushing me toward a job first",Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
"Academic pressure is affecting my sleep and peace of mind, and also i cannot delay earning because of urgent responsibilities",Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
"Academic pressure is affecting my sleep and peace of mind, and also expenses are increasing and i need stable income",Balanced Plan,A balanced approach of work and academic planning may help manage responsibilities effectively.
