input,decision
my coding skills are weak I feel low confidence I want clarity because time is moving fast. Sometimes I think skill improvement should come first.,Skill Development First
I want both earning and learning I feel pressure from my family I do not want to regret my decision later. Sometimes I think skill improvement should come first.,Balanced Job + Study Plan
"I want to work and study together I want a stable future I need practical advice, not just motivation.",Balanced Job + Study Plan
I need internship experience first I want a stable future I do not want to regret my decision later. I also think family expectations matter a lot.,Skill Development First
I need to earn quickly I want a stable future I want clarity because time is moving fast. Sometimes I think skill improvement should come first.,Job First (Financial Stability)
I want part-time study with work I want a stable future I want clarity because time is moving fast. Part of me also considers higher studies seriously.,Balanced Job + Study Plan
I need internship experience first I am confused about my next step I want clarity because time is moving fast. Sometimes I think skill improvement should come first.,Skill Development First
"my coding skills are weak I feel low confidence I need practical advice, not just motivation. I wonder if financial stability should be the priority.",Skill Development First
I am preparing for banking exams I want a stable future This affects both my confidence and future planning. I also think family expectations matter a lot.,Government Exam Path
my father lost his job I am confused between job and studies This affects both my confidence and future planning. Sometimes I think skill improvement should come first.,Job First (Financial Stability)
I need internship experience first I feel low confidence I want clarity because time is moving fast. I wonder if financial stability should be the priority.,Skill Development First
I recently had a breakup I am confused about my next step This keeps bothering me every day. I also think family expectations matter a lot.,Emotional Counseling Needed
everyone gives me different advice I am confused about my next step I do not want to regret my decision later. I wonder if financial stability should be the priority.,Career Guidance Needed
I want to prepare for CAT I want to make the right long-term decision This affects both my confidence and future planning. I wonder if financial stability should be the priority.,Higher Studies First
"I want better career growth through education I want a stable future I need practical advice, not just motivation.",Higher Studies First
I am planning for MTech I feel pressure from my family This keeps bothering me every day. I wonder if financial stability should be the priority.,Higher Studies First
I want better career growth through education I want a stable future I want clarity because time is moving fast. I wonder if financial stability should be the priority.,Higher Studies First
I am preparing for banking exams I feel pressure from my family I do not want to regret my decision later. I also think family expectations matter a lot.,Government Exam Path
I do not know what I should do in life I am confused about my next step I do not want to regret my decision later. Part of me also considers higher studies seriously.,Career Guidance Needed
I recently had a breakup I want mental clarity I do not want to regret my decision later.,Emotional Counseling Needed
"I need to earn quickly I want a stable future I need practical advice, not just motivation.",Job First (Financial Stability)
my coding skills are weak I feel low confidence I do not want to regret my decision later. I also think family expectations matter a lot.,Skill Development First
expenses at home are increasing I am confused between job and studies This affects both my confidence and future planning. I wonder if financial stability should be the priority.,Job First (Financial Stability)
I lack confidence in interviews I feel low confidence This affects both my confidence and future planning.,Skill Development First
my parents want me to prepare for UPSC I want a stable future This keeps bothering me every day. I also think family expectations matter a lot.,Government Exam Path
"I want a secure public sector career I am confused about my next step I need practical advice, not just motivation. Part of me also considers higher studies seriously.",Government Exam Path
"I want better career growth through education I am confused between job and studies I need practical advice, not just motivation.",Higher Studies First
I need to earn quickly I want a stable future This keeps bothering me every day. I also think family expectations matter a lot.,Job First (Financial Stability)
my communication skills need improvement I want practical career advice This affects both my confidence and future planning.,Skill Development First
"everyone gives me different advice I want clarity before deciding I need practical advice, not just motivation. Sometimes I think skill improvement should come first.",Career Guidance Needed
I feel lost about my future I am confused about my next step I want clarity because time is moving fast.,Career Guidance Needed
I need internship experience first I feel low confidence I do not want to regret my decision later. Sometimes I think skill improvement should come first.,Skill Development First
I need both income and higher studies I want a stable future I want clarity because time is moving fast. Sometimes I think skill improvement should come first.,Balanced Job + Study Plan
"higher studies feel important for my future I want to make the right long-term decision I need practical advice, not just motivation. Sometimes I think skill improvement should come first.",Higher Studies First
I do not know what I should do in life I want a stable future This keeps bothering me every day. Part of me also considers higher studies seriously.,Career Guidance Needed
I do not know what I should do in life I feel low confidence I want clarity because time is moving fast.,Career Guidance Needed
my family needs financial support I feel pressure from my family I want clarity because time is moving fast.,Job First (Financial Stability)
I need to earn quickly I want to make the right long-term decision This affects both my confidence and future planning.,Job First (Financial Stability)
I am planning for MTech I want a stable future I do not want to regret my decision later.,Higher Studies First
"I need both income and higher studies I want a stable future I need practical advice, not just motivation. Sometimes I think skill improvement should come first.",Balanced Job + Study Plan
I lack confidence in interviews I am confused about my next step I do not want to regret my decision later. I wonder if financial stability should be the priority.,Skill Development First
everyone gives me different advice I want clarity before deciding This affects both my confidence and future planning.,Career Guidance Needed
I want to prepare for CAT I am confused between job and studies This affects both my confidence and future planning. I also think family expectations matter a lot.,Higher Studies First
I want part-time study with work I feel pressure from my family This keeps bothering me every day. Sometimes I think skill improvement should come first.,Balanced Job + Study Plan
I need both income and higher studies I am confused between job and studies This keeps bothering me every day.,Balanced Job + Study Plan
"my father lost his job I am confused between job and studies I need practical advice, not just motivation.",Job First (Financial Stability)
my coding skills are weak I want a stable future This keeps bothering me every day. Part of me also considers higher studies seriously.,Skill Development First
my coding skills are weak I want practical career advice I do not want to regret my decision later. I also think family expectations matter a lot.,Skill Development First
higher studies feel important for my future I want a stable future I do not want to regret my decision later. I wonder if financial stability should be the priority.,Higher Studies First
"expenses at home are increasing I want a stable future I need practical advice, not just motivation.",Job First (Financial Stability)
I need to earn quickly I want a stable future I do not want to regret my decision later.,Job First (Financial Stability)
my family needs financial support I want a stable future I want clarity because time is moving fast. I also think family expectations matter a lot.,Job First (Financial Stability)
