input_text,target_output,,,
"Due to startup failure fear, I feel lost and unsure whether I should choose remote work or research career.","""If startup failure fear is already creating anxiety, choosing remote work first is the safer and smarter step. It gives you income, real industry exposure, and confidence while reducing financial pressure. Research careers usually need strong long-term commitment and patience, so they work better when your mind is stable and clear. Build professional experience first, then explore research later if your interest remains strong.""",,,
I am worried about placement rejection and I am confused between software job and bank exam preparation. Please suggest the best decision.,"""If you are already worried about placement rejection, preparing for a software job is usually the better decision than switching to bank exams out of fear. Your current academic path and technical skills give you a direct advantage in software roles, while bank exams need a completely separate long preparation cycle with uncertain results. Focus on improving coding, projects, and interview readiness instead of dividing your energy. Consistency in one direction will help more than starting over.""",,,
"Everyone around me seems ahead and because of toxic relationship, I cannot choose between higher studies and stable job.","""Right now, a stable job is the better choice. Emotional stress from a toxic relationship can make higher studies feel even heavier, and financial independence will help you regain confidence and mental peace first. Once your routine and mindset become stronger, you can always plan higher studies later with better clarity. Stability now will create better decisions later.""",,,
"Everyone around me seems ahead and because of toxic college environment, I cannot choose between internship preparation and stable job.","""In a toxic college environment, securing stability should come before chasing uncertain opportunities. A stable job gives you independence, structure, and a healthier mental space, while internship preparation often needs strong focus and patience that toxic surroundings can disturb. Prioritize getting out of that draining environment first. Once stable, you can still upgrade your career with better opportunities.""",,,
My family is pressuring me because of study abroad confusion. Should I focus on higher studies or family business?,"""If study abroad confusion is mixed with family pressure, first ask yourself whether higher studies is truly your goal or only external influence. If you have strong academic interest and financial planning is realistic, higher studies makes sense; otherwise, joining family business with a growth mindset can be the wiser decision. Do not choose abroad just because it sounds prestigious. Choose the path where you can stay committed for years, not just months.""",,,
I feel mentally exhausted due to backlogs in multiple subjects. I need help choosing between study abroad and research career.,"""With multiple backlogs and mental exhaustion, study abroad should not be the priority right now. A research career is more practical because it allows you to first rebuild your academic foundation and focus on genuine learning instead of rushing into expensive plans. Clear your backlogs, improve discipline, and regain confidence before making bigger moves. Strong basics matter more than fast decisions.""",,,
I am worried about peer pressure and I am confused between family business and stable job. Please suggest the best decision.,"""If peer pressure is influencing you, do not let it decide your life. A stable job is usually the better first step because it gives financial independence, professional exposure, and personal confidence before making bigger long-term commitments. Family business can still remain an option later with better maturity and business understanding. First build your own stability, then choose with clarity instead of pressure.""",,,
I feel pressure because of career confusion after graduation. Can you help me decide between bank exam preparation and higher studies?,"""Between bank exam preparation and higher studies, choose based on your long-term interest, not temporary pressure. If you genuinely want a structured government career and can stay disciplined for 1–2 years, bank exams are worth it. If your field needs specialization and you enjoy academics, higher studies is stronger. Do not prepare for bank exams just because you feel lost after graduation.""",,,
I feel pressure because of low CGPA. Can you help me decide between internship preparation and stable job?,"""Low CGPA should not push you into fear-based decisions. A stable job should be your first focus because practical skills, communication, and consistency often matter more than marks after the first opportunity. Internship preparation is useful, but if financial security is urgent, stability matters more right now. Start with the job that gets you experience, then keep improving from there.""",,,
My family is pressuring me because of confusion between passion and stability. Should I focus on higher studies or startup idea?,"""If family pressure is high and startup confusion is making you anxious, higher studies is usually the safer first step. It gives you structure, skill development, and credibility while reducing the immediate risk of jumping into an uncertain startup too early. A startup can be built later with better knowledge, network, and confidence. Passion grows stronger when supported by preparation, not just emotion.""",,,
I am struggling with career confusion after graduation and I cannot decide between software job and stable job. Please guide me.,"""Between a software job and a general stable job, choose the software job if you already have the skills or degree alignment for it. It offers both stability and long-term growth, while also keeping your career options wider. Do not chase the word stable if it means settling too early in the wrong field. Build experience where your existing efforts already give you an advantage.""",,,
"Everyone around me seems ahead and because of family business pressure, I cannot choose between government exam preparation and study abroad.","""Do not let comparison with others push you into the wrong path. If family business pressure is strong and you are unsure about study abroad finances and long-term commitment, government exam preparation is usually the safer choice only if you genuinely want that life. Otherwise, study abroad should be chosen only with clear purpose, not escape. Make the decision based on commitment, not pressure.""",,,
