input_text,target_label,target_output
"Life feels very unstable due to fear of disappointing parents, need immediate income, and exam stress, but I still hope for startup idea.",Balanced Plan,"Balance is the strongest strategy here. Protect financial stability, emotional health, and long-term career growth together instead of sacrificing one completely."
"Because of depression, low family income, and rent and living expenses pressure, I feel lost between responsibility and my goal of startup idea.",Job First,"A stable income may be the most practical first step. Once financial pressure reduces, higher studies and career growth can continue with less guilt and more confidence."
"Because of entrance exam stress, emotional exhaustion, and low CGPA, I feel lost between responsibility and my goal of MBA preparation.",Study First,"Before making major career decisions, improving your academic stability is important. Strong studies now create better options later for both jobs and higher education."
"My family expects results, but I am dealing with entrance exam stress, fear of disappointing parents, and exam stress while trying to pursue government exam preparation.",Study First,"Right now, strengthening your academic foundation should be the first step. Better grades, fewer backlogs, and stronger focus will create more stable future opportunities."
"I feel guilty because of need immediate income, family health expenses, and backlogs, while my future goal is still higher studies.",Job First,"A stable income may be the most practical first step. Once financial pressure reduces, higher studies and career growth can continue with less guilt and more confidence."
"Life feels very unstable due to emotional exhaustion, household financial burden, and relationship breakup, but I still hope for government exam preparation.",Counseling Needed,"Before deciding your future, emotional clarity is necessary. Support from mentors, trusted people, or counseling can help you make stronger long-term decisions."
"I am mentally exhausted because of emotional exhaustion, project deadline pressure, and competitive exam pressure. I do not know whether I should continue toward stable job.",Study First,"Before making major career decisions, improving your academic stability is important. Strong studies now create better options later for both jobs and higher education."
"My family expects results, but I am dealing with exam stress, father lost job, and low self-confidence while trying to pursue software job.",Job First,"A stable income may be the most practical first step. Once financial pressure reduces, higher studies and career growth can continue with less guilt and more confidence."
"Because of low family income, exam stress, and lack of motivation, I feel confused between survival and my dream of government exam preparation.",Balanced Plan,You do not need an extreme decision right now. A balanced plan where you manage present responsibilities while slowly preparing for future goals is often the safest path.
"Life feels very unstable due to low CGPA, fear of disappointing parents, and low family income, but I still hope for MBA preparation.",Balanced Plan,You do not need an extreme decision right now. A balanced plan where you manage present responsibilities while slowly preparing for future goals is often the safest path.
"I want long-term growth, but fear of disappointing parents, assignment overload, and anxiety are forcing me to rethink bank exam preparation.",Counseling Needed,"Your emotional wellbeing should come first. When mental health becomes unstable, career decisions become unclear. Stabilizing yourself emotionally is part of progress, not delay."
"I feel trapped because of lack of motivation, backlogs, and rent and living expenses pressure, but I still want software job.",Job First,"A stable income may be the most practical first step. Once financial pressure reduces, higher studies and career growth can continue with less guilt and more confidence."
"My confidence is low because of fear of failure, exam stress, and backlogs, and I cannot decide if software job is realistic.",Study First,"Before making major career decisions, improving your academic stability is important. Strong studies now create better options later for both jobs and higher education."
"I feel trapped because of poor concentration, household financial burden, and urgent medical expenses at home, but I still want family business.",Job First,Immediate financial stability should be prioritized first. Supporting family responsibilities now can reduce pressure and allow you to plan future education more safely.
"Everyone around me is moving ahead, but I am stuck with assignment overload, household financial burden, and fear of failure, and I want family business.",Study First,"Right now, strengthening your academic foundation should be the first step. Better grades, fewer backlogs, and stronger focus will create more stable future opportunities."
"I feel trapped because of low self-confidence, anxiety, and responsibility to support parents, but I still want startup idea.",Counseling Needed,"Before deciding your future, emotional clarity is necessary. Support from mentors, trusted people, or counseling can help you make stronger long-term decisions."
"I am mentally exhausted because of fear of failure, project deadline pressure, and education loan burden. I do not know whether I should continue toward startup idea.",Study First,"Before making major career decisions, improving your academic stability is important. Strong studies now create better options later for both jobs and higher education."
"Because of low CGPA, household financial burden, and family health expenses, I feel lost between responsibility and my goal of bank exam preparation.",Job First,"A stable income may be the most practical first step. Once financial pressure reduces, higher studies and career growth can continue with less guilt and more confidence."
"Everyone around me is moving ahead, but I am stuck with toxic relationship, family financial pressure, and poor concentration, and I want MBA preparation.",Balanced Plan,You do not need an extreme decision right now. A balanced plan where you manage present responsibilities while slowly preparing for future goals is often the safest path.
"Everyone around me is moving ahead, but I am stuck with need immediate income, anxiety, and fear of disappointing parents, and I want higher studies.",Balanced Plan,"Balance is the strongest strategy here. Protect financial stability, emotional health, and long-term career growth together instead of sacrificing one completely."
"I am mentally exhausted because of project deadline pressure, fear of disappointing parents, and competitive exam pressure. I do not know whether I should continue toward stable job.",Study First,"Before making major career decisions, improving your academic stability is important. Strong studies now create better options later for both jobs and higher education."
"Because of exam stress, poor concentration, and education loan burden, I feel lost between responsibility and my goal of software job.",Study First,"Before making major career decisions, improving your academic stability is important. Strong studies now create better options later for both jobs and higher education."
"I want long-term growth, but low self-confidence, responsibility to support parents, and exam stress are forcing me to rethink family business.",Job First,"A stable income may be the most practical first step. Once financial pressure reduces, higher studies and career growth can continue with less guilt and more confidence."
"My family expects results, but I am dealing with lack of motivation, relationship breakup, and toxic relationship while trying to pursue startup idea.",Counseling Needed,"Before deciding your future, emotional clarity is necessary. Support from mentors, trusted people, or counseling can help you make stronger long-term decisions."
"Everyone around me is moving ahead, but I am stuck with family financial pressure, low family income, and low CGPA, and I want higher studies.",Job First,Immediate financial stability should be prioritized first. Supporting family responsibilities now can reduce pressure and allow you to plan future education more safely.
"I feel trapped because of fear of failure, backlogs, and exam stress, but I still want research career.",Study First,"Right now, strengthening your academic foundation should be the first step. Better grades, fewer backlogs, and stronger focus will create more stable future opportunities."
"Because of assignment overload, emotional exhaustion, and family health expenses, I feel lost between responsibility and my goal of study abroad.",Balanced Plan,"Balance is the strongest strategy here. Protect financial stability, emotional health, and long-term career growth together instead of sacrificing one completely."
